Province;Commune;Nom_Etab;Categorie
Larache;Ksar  El Kebir;Ksar  El Kebir;HL
M'Diq-Fnideq;M'diq;Mohamed VI;HGP
M'Diq-Fnideq;Fnideq;Hassan II;HL
Tanger-Assilah;Tanger;Mohamed V;HGP
Tanger-Assilah;Tanger;Duc de Tovar;HSP
Tanger-Assilah;Assilah;Assilah;HL
Tanger-Assilah;Tanger;Mohamed VI;HL
Tetouan;Tetouan;H“pital.Civil;HGP
Tetouan;Tetouan;Ben Karrich;HSP
Tanger-Assilah;Tanger;Errazi (Beni Makada);HSP
Tanger-Assilah;Tanger;Al Kortobi;HSP 
T‚touan;Tetouan;Errazi;HSP
Al Hoceima;Al Hoceima;Mohamed V;HGR
Al Hoceima;Al Hoceima;Oncologie;HSR
Al Hoceima;Targuist;Targuist;HL
Guercif;Guercif;Guercif;HGP
Taounate;Taounate;Taounate;HGP 
Taounate;Ghafsai;Hassan II;HL
Taza;Taza Al Jadida;Ibn Baja;HGP 
;;;
